Device ID	Frame ID	Frame Rate	Time Stamp	Palm Position.x,Palm Position.y,Palm Position.z	Palm Normal.x,Palm Normal.y,Palm Normal.z	Palm Direction.x,Palm Direction.y,Palm Direction.z	Arm Proximal.x,Arm Proximal.y,Arm Proximal.z	Arm Distal.x,Arm Distal.y,Arm Distal.z	Finger1_Meta.x,Finger1_Meta.y,Finger1_Meta.z	Finger1_Proxi.x,Finger1_Proxi.y,Finger1_Proxi.z	Finger1_Inter.x,Finger1_Inter.y,Finger1_Inter.z	Finger1_Dist.x,Finger1_Dist.y,Finger1_Dist.z	Finger1_End.x,Finger1_End.y,Finger1_End.z	Finger2_Meta.x,Finger2_Meta.y,Finger2_Meta.z	Finger2_Proxi.x,Finger2_Proxi.y,Finger2_Proxi.z	Finger2_Inter.x,Finger2_Inter.y,Finger2_Inter.z	Finger2_Dist.x,Finger2_Dist.y,Finger2_Dist.z	Finger2_End.x,Finger2_End.y,Finger2_End.z	Finger3_Meta.x,Finger3_Meta.y,Finger3_Meta.z	Finger3_Proxi.x,Finger3_Proxi.y,Finger3_Proxi.z	Finger3_Inter.x,Finger3_Inter.y,Finger3_Inter.z	Finger3_Dist.x,Finger3_Dist.y,Finger3_Dist.z	Finger3_End.x,Finger3_End.y,Finger3_End.z	Finger4_Meta.x,Finger4_Meta.y,Finger4_Meta.z	Finger4_Proxi.x,Finger4_Proxi.y,Finger4_Proxi.z	Finger4_Inter.x,Finger4_Inter.y,Finger4_Inter.z	Finger4_Dist.x,Finger4_Dist.y,Finger4_Dist.z	Finger4_End.x,Finger4_End.y,Finger4_End.z	Finger5_Meta.x,Finger5_Meta.y,Finger5_Meta.z	Finger5_Proxi.x,Finger5_Proxi.y,Finger5_Proxi.z	Finger5_Inter.x,Finger5_Inter.y,Finger5_Inter.z	Finger5_Dist.x,Finger5_Dist.y,Finger5_Dist.z	Finger5_End.x,Finger5_End.y,Finger5_End.z	
1	0	100	8869385126	50.5365,284.648,-56.5457	-0.111355,-0.985971,0.124347	-0.394149,-0.0710448,-0.916296	208.414,343.595,223.838	86.6077,293.933,5.13451	54.8005,289.691,-2.86401	54.8005,289.691,-2.86401	6.6743,282.264,-17.5132	-19.4321,276.224,-26.882	-37.1275,271.424,-33.0037	59.5414,302.38,-12.9901	21.1373,289.136,-69.4319	7.42372,290.214,-97.3322	-1.78436,288.131,-116.009	-9.63174,282.744,-130.098	66.5731,302.134,-19.7339	38.0136,288.151,-77.5085	28.4302,288.29,-112.723	21.6382,285.532,-137.252	16.5308,280.55,-153.308	77.167,298.054,-25.6105	59.837,284.18,-80.5013	52.7975,283.418,-115.046	47.9268,280.61,-134.271	43.7667,275.989,-148.057	86.7007,290.027,-23.9065	78.283,278.422,-76.8081	80.2096,278.449,-100.982	80.328,275.578,-119.028	79.4348,271.061,-131.381	
2	0	100	8869385126	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	
3	0	100	8869385126	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	
4	0	100	8869385126	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	
1	0	100	8869395126	50.5365,284.648,-56.5457	-0.111355,-0.985971,0.124347	-0.394149,-0.0710448,-0.916296	208.414,343.595,223.838	86.6077,293.933,5.13451	54.8005,289.691,-2.86401	54.8005,289.691,-2.86401	6.6743,282.264,-17.5132	-19.4321,276.224,-26.882	-37.1275,271.424,-33.0037	59.5414,302.38,-12.9901	21.1373,289.136,-69.4319	7.42372,290.214,-97.3322	-1.78436,288.131,-116.009	-9.63174,282.744,-130.098	66.5731,302.134,-19.7339	38.0136,288.151,-77.5085	28.4302,288.29,-112.723	21.6382,285.532,-137.252	16.5308,280.55,-153.308	77.167,298.054,-25.6105	59.837,284.18,-80.5013	52.7975,283.418,-115.046	47.9268,280.61,-134.271	43.7667,275.989,-148.057	86.7007,290.027,-23.9065	78.283,278.422,-76.8081	80.2096,278.449,-100.982	80.328,275.578,-119.028	79.4348,271.061,-131.381	
2	0	100	8869395126	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	
3	0	100	8869395126	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	
4	0	100	8869395126	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	
1	0	100	8869405126	50.5365,284.648,-56.5457	-0.111355,-0.985971,0.124347	-0.394149,-0.0710448,-0.916296	208.414,343.595,223.838	86.6077,293.933,5.13451	54.8005,289.691,-2.86401	54.8005,289.691,-2.86401	6.6743,282.264,-17.5132	-19.4321,276.224,-26.882	-37.1275,271.424,-33.0037	59.5414,302.38,-12.9901	21.1373,289.136,-69.4319	7.42372,290.214,-97.3322	-1.78436,288.131,-116.009	-9.63174,282.744,-130.098	66.5731,302.134,-19.7339	38.0136,288.151,-77.5085	28.4302,288.29,-112.723	21.6382,285.532,-137.252	16.5308,280.55,-153.308	77.167,298.054,-25.6105	59.837,284.18,-80.5013	52.7975,283.418,-115.046	47.9268,280.61,-134.271	43.7667,275.989,-148.057	86.7007,290.027,-23.9065	78.283,278.422,-76.8081	80.2096,278.449,-100.982	80.328,275.578,-119.028	79.4348,271.061,-131.381	
2	0	100	8869405126	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	nan,nan,nan	
