Device ID	Frame ID	Frame Rate	Time Stamp	Palm Position.x,Palm Position.y,Palm Position.z	Palm Normal.x,Palm Normal.y,Palm Normal.z	Palm Direction.x,Palm Direction.y,Palm Direction.z	Arm Proximal.x,Arm Proximal.y,Arm Proximal.z	Arm Distal.x,Arm Distal.y,Arm Distal.z	Finger1_Meta.x,Finger1_Meta.y,Finger1_Meta.z	Finger1_Proxi.x,Finger1_Proxi.y,Finger1_Proxi.z	Finger1_Inter.x,Finger1_Inter.y,Finger1_Inter.z	Finger1_Dist.x,Finger1_Dist.y,Finger1_Dist.z	Finger1_End.x,Finger1_End.y,Finger1_End.z	Finger2_Meta.x,Finger2_Meta.y,Finger2_Meta.z	Finger2_Proxi.x,Finger2_Proxi.y,Finger2_Proxi.z	Finger2_Inter.x,Finger2_Inter.y,Finger2_Inter.z	Finger2_Dist.x,Finger2_Dist.y,Finger2_Dist.z	Finger2_End.x,Finger2_End.y,Finger2_End.z	Finger3_Meta.x,Finger3_Meta.y,Finger3_Meta.z	Finger3_Proxi.x,Finger3_Proxi.y,Finger3_Proxi.z	Finger3_Inter.x,Finger3_Inter.y,Finger3_Inter.z	Finger3_Dist.x,Finger3_Dist.y,Finger3_Dist.z	Finger3_End.x,Finger3_End.y,Finger3_End.z	Finger4_Meta.x,Finger4_Meta.y,Finger4_Meta.z	Finger4_Proxi.x,Finger4_Proxi.y,Finger4_Proxi.z	Finger4_Inter.x,Finger4_Inter.y,Finger4_Inter.z	Finger4_Dist.x,Finger4_Dist.y,Finger4_Dist.z	Finger4_End.x,Finger4_End.y,Finger4_End.z	Finger5_Meta.x,Finger5_Meta.y,Finger5_Meta.z	Finger5_Proxi.x,Finger5_Proxi.y,Finger5_Proxi.z	Finger5_Inter.x,Finger5_Inter.y,Finger5_Inter.z	Finger5_Dist.x,Finger5_Dist.y,Finger5_Dist.z	Finger5_End.x,Finger5_End.y,Finger5_End.z	
3	899	0.0252926	3215220961	73.3232,252.194,70.4106	-0.268618,-0.954274,0.131169	-0.398712,-0.0138092,-0.916972	189.936,252.771,372.602	108.226,254.691,132.596	78.6727,256.693,123.124	78.6727,256.693,123.124	29.365,259.89,111.437	3.68004,258.329,101.039	-12.8253,255.37,93.1135	84.8634,268.377,113.131	45.1987,261.093,57.0388	30.1849,265.174,30.2268	20.0888,269.111,11.5571	10.5391,270.997,-5.29133	91.6732,267.109,106.702	61.5457,257.519,49.3215	52.7355,261.592,15.7227	48.4212,266.175,-9.24704	44.6736,268.442,-28.7438	101.194,261.461,101.326	82.0898,250.206,46.8436	73.6679,252.979,12.7042	70.0089,254.913,-6.69353	67.2653,255.346,-22.8422	109.312,252.07,103.744	99.3045,241.631,51.2494	99,244.766,26.8614	99.5992,246.804,8.09031	100.029,247.037,-6.68243	
2	885	0.0252797	3215221198	-36.5079,248.698,-30.0648	-0.0987785,-0.993989,0.0472099	-0.378965,-0.00629176,-0.92539	35.4524,289.264,260.696	-6.60652,253.545,29.4316	-32.9323,249.822,19.6824	-32.9323,249.822,19.6824	-75.4503,242.468,5.58541	-96.6223,234.653,-4.65443	-110.114,227.872,-12.0384	-28.2588,261.755,11.973	-63.0403,252.981,-41.9732	-74.7644,247.224,-67.2924	-82.2063,241.507,-84.2871	-88.1092,234.422,-97.4721	-21.8491,262.906,5.44409	-47.4324,253.664,-49.6419	-54.1602,249.84,-81.3843	-58.075,246.461,-104.005	-60.7244,241.956,-119.954	-12.5525,259.394,0.0219747	-27.7195,250.188,-52.2062	-34.0182,248.401,-83.7985	-37.4719,246.598,-101.538	-39.7219,243.382,-115.399	-4.14592,251.68,1.2665	-11.0716,244.552,-48.8174	-10.531,244.011,-71.408	-10.1726,242.569,-88.3186	-10.0363,239.881,-100.93	
1	885	0.0252914	3215220983	66.006,263.579,-54.7098	-0.139048,-0.979879,0.143185	-0.378715,-0.0809813,-0.921964	204.066,300.405,239.038	100.477,272.341,7.7828	69.5015,269.772,-1.75948	69.5015,269.772,-1.75948	21.5372,263.547,-15.9712	-3.31965,255.827,-25.7064	-19.1495,249.209,-31.9315	74.7675,281.753,-11.2943	37.1323,268.276,-68.1071	20.5158,265.66,-95.6343	9.97095,262.553,-113.876	1.09303,257.599,-129.092	81.9487,281.533,-17.9488	54.1484,267.039,-75.8881	42.9463,265.313,-111.053	36.0119,262.97,-135.888	31.1745,258.665,-153.285	92.3029,276.992,-23.5853	75.6638,262.384,-78.4322	64.3717,259.447,-112.979	57.8757,256.335,-131.937	53.3308,251.814,-146.242	101.309,268.883,-21.4065	93.5898,256.357,-74.1448	92.8812,256.013,-98.986	91.6884,254.421,-117.553	90.5009,251.312,-131.008	
4	894	0.0252809	3215221185	-60.0323,274.148,69.1189	-0.0362705,-0.999166,-0.0187479	-0.406795,0.0318974,-0.912962	18.1159,330.307,388.066	-25.6121,278.256,134.199	-54.3242,272.063,123.539	-54.3242,272.063,123.539	-103.934,264.979,109.56	-128.726,258.968,96.9537	-144.133,254.042,86.7815	-50.9551,285.96,115.905	-90.5937,277.876,56.816	-105.57,277.259,27.0857	-115.671,276.161,6.74485	-123.825,272.324,-10.6962	-43.925,288.225,108.945	-73.4281,280.351,48.2869	-82.8529,281.289,10.2381	-88.6938,281.511,-16.8381	-92.7356,279.599,-36.591	-33.2762,285.28,102.608	-51.1958,277.964,44.7899	-59.2671,280.153,7.33942	-63.4937,280.214,-13.9266	-66.389,278.723,-30.759	-23.1159,277.426,103.334	-32.0131,272.812,47.7897	-31.8338,275.493,21.2185	-31.6052,276.13,0.876278	-31.5662,274.696,-14.2878	
2	886	0.0252925	3215260354	-35.3227,246.564,-30.2787	-0.105684,-0.991561,0.0750831	-0.390847,-0.0280086,-0.920029	39.4338,288.15,259.973	-4.64344,252.527,28.792	-31.1487,249.047,19.4114	-31.1487,249.047,19.4114	-74.0762,240.298,6.00084	-96.1401,232.157,-3.33197	-110.884,225.293,-9.68324	-26.3997,260.691,11.2362	-61.9765,250.743,-42.0725	-74.2274,244.999,-66.734	-82.038,239.16,-82.9111	-88.259,232.021,-95.1991	-20.0862,261.554,4.76088	-46.4736,251.034,-49.7921	-54.0414,247.963,-81.383	-58.6039,245.743,-103.945	-61.7298,242.255,-120.154	-10.9107,257.863,-0.738345	-26.8341,247.375,-52.5642	-33.4303,245.407,-84.0381	-37.1488,243.604,-101.833	-39.6919,240.649,-115.804	-2.55562,250.23,0.594901	-10.1859,241.812,-49.2451	-10.1255,241.438,-71.4997	-9.95292,240.394,-88.5023	-9.74436,237.815,-101.306	
4	895	0.0252923	3215265432	-58.7944,271.549,68.5541	-0.046333,-0.998924,-0.00209601	-0.422605,0.0215028,-0.906059	24.3246,332.973,385.131	-23.2331,276.382,132.95	-52.1533,270.266,122.917	-52.1533,270.266,122.917	-102.356,263.458,109.208	-128.295,257.751,97.6678	-145.503,253.085,88.9733	-48.7375,284.034,114.934	-89.4925,275.413,56.6925	-104.881,274.391,27.5666	-115.249,272.282,7.87395	-123.665,267.293,-8.54145	-41.8317,286.008,107.853	-72.4799,277.471,47.8616	-82.8869,277.271,9.81554	-89.737,276.25,-16.9006	-94.4851,273.556,-35.9107	-31.3852,282.983,101.37	-50.3972,274.932,44.0045	-58.7673,276.613,6.70529	-63.2459,276.474,-14.5054	-66.4274,274.753,-31.2723	-21.3058,275.028,102.087	-31.2312,269.624,46.7934	-31.544,272.84,20.4755	-31.5815,273.97,0.391275	-31.6028,273.198,-14.7311	
1	886	0.0252944	3215305415	67.0554,262.01,-55.5968	-0.115997,-0.980861,0.156384	-0.398592,-0.0982435,-0.911851	205.327,299.033,236.992	102.505,271.878,5.94579	71.7601,268.81,-2.88424	71.7601,268.81,-2.88424	23.6195,260.546,-16.3329	-1.95415,252.976,-24.6478	-18.9707,246.872,-29.9274	76.1844,280.774,-12.771	37.5919,265.987,-68.4044	20.617,262.76,-95.4995	9.23669,257.629,-112.738	-0.0783131,250.167,-125.758	83.3332,280.735,-19.6714	54.5418,265.116,-76.6508	45.0493,264.783,-111.481	38.9487,262.972,-136.613	34.2415,258.247,-154.114	93.8042,276.247,-25.2608	76.2173,260.768,-79.419	66.6529,258.024,-113.763	60.7489,254.502,-132.727	56.2537,249.434,-146.649	103.109,268.236,-23.0361	94.4244,255.032,-75.3235	94.4988,254.936,-100.265	94.0236,253.045,-118.848	93.147,249.12,-132.119	
3	900	0.025295	3215309127	74.2973,250.206,70.0708	-0.265997,-0.954651,0.133741	-0.397433,-0.0177927,-0.917459	195.088,250.468,371.384	109.335,252.94,132.337	79.637,254.83,122.893	79.637,254.83,122.893	30.3057,258.118,111.943	3.30947,257.566,103.063	-14.824,255.965,96.8823	85.8852,266.623,112.796	46.2498,259.037,56.5769	30.5231,261.899,29.8071	19.4365,264.416,11.413	8.85957,265.167,-4.56388	92.6476,265.241,106.408	62.5743,255.368,48.9183	52.5521,258.881,15.1296	46.7927,262.611,-9.80223	42.1502,264.18,-29.0711	102.13,259.631,101.091	83.0991,248.134,46.5249	73.8172,250.632,12.0475	69.4545,252.414,-7.7305	66.3078,252.854,-24.2205	110.187,250.326,103.455	100.264,239.679,50.8888	99.8232,242.969,26.3154	100.478,245.519,7.37781	101.065,246.103,-7.66022	
2	887	0.0252925	3215358732	-35.2025,245.414,-30.4743	-0.103684,-0.991199,0.0823035	-0.396002,-0.0347679,-0.917591	41.4915,287.233,259.218	-4.19166,251.748,28.3726	-30.7736,248.201,19.1895	-30.7736,248.201,19.1895	-73.9073,239.235,6.01481	-96.184,231.216,-3.08529	-111.129,224.577,-9.14762	-26.0901,259.859,10.841	-61.9456,249.502,-42.1877	-74.3795,243.891,-66.7209	-82.2855,238.143,-82.8283	-88.6179,231.162,-95.14	-19.8085,260.636,4.37872	-46.4825,249.713,-49.9423	-54.2157,246.864,-81.5382	-58.8673,244.761,-104.092	-62.0518,241.401,-120.328	-10.6529,256.939,-1.13767	-26.8497,246.081,-52.7917	-33.7572,243.85,-84.1311	-37.6542,241.937,-101.873	-40.3226,239.003,-115.856	-2.27284,249.338,0.20762	-10.1702,240.577,-49.5218	-10.3462,240.366,-71.5833	-10.2719,239.666,-88.5974	-10.0552,237.453,-101.515	
4	896	0.0252923	3215363723	-58.5499,270.506,68.2534	-0.049336,-0.998781,0.00157223	-0.427458,0.0196921,-0.903821	27.4884,334.785,383.444	-22.5887,275.531,132.407	-51.6384,269.333,122.643	-51.6384,269.333,122.643	-102.021,262.861,109.094	-128.261,257.334,97.8691	-145.61,252.682,89.5115	-48.2075,283.173,114.528	-89.298,274.478,56.5476	-105.088,273.536,27.7469	-115.796,271.347,8.17686	-124.436,266.267,-8.0542	-41.3253,285.001,107.412	-72.3199,276.354,47.6268	-82.9399,276.197,9.64566	-90.0005,275.126,-16.9748	-94.8713,272.342,-35.7643	-30.9247,281.961,100.877	-50.2694,273.773,43.652	-58.7018,275.591,6.4417	-63.248,275.553,-14.7401	-66.5011,273.906,-31.4768	-20.8689,273.978,101.525	-31.1094,268.417,46.3131	-31.6587,271.909,20.147	-31.9116,273.636,0.1323	-32.037,273.202,-15.0212	
