Device ID	Frame ID	Frame Rate	Time Stamp	Palm Position.x,Palm Position.y,Palm Position.z	Palm Normal.x,Palm Normal.y,Palm Normal.z	Palm Direction.x,Palm Direction.y,Palm Direction.z	Arm Proximal.x,Arm Proximal.y,Arm Proximal.z	Arm Distal.x,Arm Distal.y,Arm Distal.z	Finger1_Meta.x,Finger1_Meta.y,Finger1_Meta.z	Finger1_Proxi.x,Finger1_Proxi.y,Finger1_Proxi.z	Finger1_Inter.x,Finger1_Inter.y,Finger1_Inter.z	Finger1_Dist.x,Finger1_Dist.y,Finger1_Dist.z	Finger1_End.x,Finger1_End.y,Finger1_End.z	Finger2_Meta.x,Finger2_Meta.y,Finger2_Meta.z	Finger2_Proxi.x,Finger2_Proxi.y,Finger2_Proxi.z	Finger2_Inter.x,Finger2_Inter.y,Finger2_Inter.z	Finger2_Dist.x,Finger2_Dist.y,Finger2_Dist.z	Finger2_End.x,Finger2_End.y,Finger2_End.z	Finger3_Meta.x,Finger3_Meta.y,Finger3_Meta.z	Finger3_Proxi.x,Finger3_Proxi.y,Finger3_Proxi.z	Finger3_Inter.x,Finger3_Inter.y,Finger3_Inter.z	Finger3_Dist.x,Finger3_Dist.y,Finger3_Dist.z	Finger3_End.x,Finger3_End.y,Finger3_End.z	Finger4_Meta.x,Finger4_Meta.y,Finger4_Meta.z	Finger4_Proxi.x,Finger4_Proxi.y,Finger4_Proxi.z	Finger4_Inter.x,Finger4_Inter.y,Finger4_Inter.z	Finger4_Dist.x,Finger4_Dist.y,Finger4_Dist.z	Finger4_End.x,Finger4_End.y,Finger4_End.z	Finger5_Meta.x,Finger5_Meta.y,Finger5_Meta.z	Finger5_Proxi.x,Finger5_Proxi.y,Finger5_Proxi.z	Finger5_Inter.x,Finger5_Inter.y,Finger5_Inter.z	Finger5_Dist.x,Finger5_Dist.y,Finger5_Dist.z	Finger5_End.x,Finger5_End.y,Finger5_End.z	
1	7052	0.463588	11653506178	78.692039,207.359543,-71.733894	-0.143221,-0.979280,0.143170	-0.061321,-0.135603,-0.988864	146.021271,256.544373,236.747162	92.048477,219.795578,-3.763602	64.913452,215.641891,-21.858574	64.913452,215.641891,-21.858574	30.547209,212.836624,-58.982281	13.930209,208.948410,-81.437935	3.429539,205.032257,-97.055168	71.957924,227.220612,-29.974771	55.317833,210.074753,-93.539139	50.201351,208.515198,-122.364777	44.519241,202.572327,-140.488235	38.734299,193.527039,-152.089264	81.069916,227.107040,-33.776917	73.920410,209.406097,-95.279854	72.518295,206.236298,-129.158401	68.983948,198.492767,-151.482819	65.122353,189.164398,-164.054550	93.082901,222.994675,-35.393566	95.303505,205.845581,-90.565392	102.852295,202.695343,-122.851593	105.731857,197.412170,-140.309937	106.333076,189.880875,-152.552994	101.414566,215.373566,-29.966721	111.162796,200.770828,-80.526711	122.032127,197.775711,-99.899277	129.104889,192.244278,-113.832535	131.967133,185.497437,-123.896942	
2	7723	0.462738	11653522051	-73.912071,209.908768,-58.099884	0.012601,-0.995853,0.090096	0.040505,-0.089521,-0.995161	-95.098312,161.663330,244.551376	-70.476974,216.876465,9.454690	-92.131523,212.975159,-10.340073	-92.131523,212.975159,-10.340073	-118.192245,199.063141,-42.075123	-128.871185,189.134949,-60.675613	-133.393234,182.126633,-72.629448	-85.436096,225.583725,-16.773834	-93.673393,209.862350,-80.491211	-96.125488,200.710342,-107.273651	-98.033211,188.321564,-121.514442	-99.242432,175.286942,-128.688354	-76.958191,227.382736,-20.327618	-76.179512,212.536011,-81.265572	-72.337669,206.980072,-113.728867	-70.863174,197.635101,-135.016922	-70.388634,187.698257,-147.040436	-65.856590,225.380569,-21.388475	-56.686390,212.223663,-75.373573	-46.575840,208.773911,-106.612648	-41.698444,203.763000,-123.322472	-38.732021,197.317596,-135.073318	-58.005558,218.722504,-15.870996	-42.401798,208.965942,-64.646706	-30.432404,208.863022,-84.603577	-22.645090,205.978195,-99.820061	-18.117525,201.198318,-110.520607	
3	10995	0.466531	11653534872	86.762001,202.019333,48.116444	-0.311515,-0.949015,0.048251	-0.008314,-0.048054,-0.998810	130.878952,215.773346,358.353149	96.413574,206.765472,116.339668	71.080429,208.224380,97.186432	71.080429,208.224380,97.186432	38.995960,212.392609,61.740677	23.711845,210.653152,39.335876	14.695652,207.381454,23.925919	81.234634,219.108841,90.146767	67.097801,210.050873,25.641649	59.839706,209.926010,-4.293639	52.970341,206.007309,-24.086401	46.620243,199.516556,-38.707912	89.755394,217.720276,86.926933	84.541870,206.400528,24.957575	84.146858,204.050766,-10.509819	82.496857,198.590652,-34.892567	80.180603,192.044373,-50.259510	100.172745,212.003952,85.702835	103.629341,199.192932,30.523741	110.760529,198.469574,-3.288805	114.458817,195.978760,-22.760040	116.341324,191.536545,-37.890419	106.259163,202.979279,90.732300	117.052986,191.034042,40.725151	130.347672,190.931168,21.237581	140.907684,188.844742,6.365046	147.451630,185.425735,-5.358763	
4	9919	0.462009	11653581335	-97.397141,223.417648,48.095539	-0.056633,-0.998177,0.020860	0.011600,-0.021550,-0.999700	-99.140282,265.025452,375.035156	-90.952110,229.860901,120.109245	-115.088768,224.636322,99.054161	-115.088768,224.636322,99.054161	-146.852036,218.920212,62.696495	-161.108765,213.724182,40.638191	-168.787933,209.968857,26.015194	-108.001038,237.694016,92.845001	-119.426445,226.488892,24.539146	-127.676933,224.478607,-6.246183	-134.445068,220.727905,-27.746740	-139.849182,214.224091,-45.250656	-98.850952,239.348373,89.390198	-100.607719,228.190704,23.825762	-100.560310,226.142746,-13.846505	-100.878548,222.654022,-40.379787	-101.398491,217.716507,-58.066467	-86.804924,236.267700,88.143311	-79.392090,225.751099,29.812464	-72.002502,226.241745,-6.213095	-68.141655,224.911850,-26.661579	-65.670670,221.723999,-42.560497	-78.305328,228.475754,93.266808	-63.705624,220.681168,40.507465	-51.201923,221.701157,18.423740	-42.300266,219.856979,2.016280	-37.081932,216.777481,-9.541903	
1	7055	25.032333	11653626023	84.265968,215.689804,-77.998596	-0.153009,-0.980157,0.126017	0.002273,-0.127867,-0.991789	147.861679,268.111389,231.810684	93.891869,227.846466,-9.059762	67.190338,223.565460,-28.427851	67.190338,223.565460,-28.427851	33.225327,221.694183,-65.224510	17.136768,217.312546,-87.458015	7.878877,212.725952,-102.346123	75.424782,235.473633,-36.073727	62.846558,218.783737,-100.938766	53.700718,215.576981,-129.732849	45.673218,207.797226,-147.517258	38.561596,197.132294,-158.585052	84.476105,235.102676,-39.657272	81.269051,217.826431,-101.849846	79.273849,212.556458,-135.662979	75.069633,202.696228,-157.399292	70.923119,192.264847,-168.953323	96.288780,230.993622,-40.782768	102.057693,214.208908,-96.026077	108.516251,207.654648,-128.004684	110.533401,200.023773,-145.044006	110.508636,191.075531,-156.413666	104.209175,223.288437,-35.046234	117.221588,209.012756,-85.165321	130.033295,205.649582,-104.371758	138.461075,199.623352,-118.442398	142.736252,192.537247,-128.361954	
2	7727	31.925083	11653630917	-74.715408,209.919113,-59.200783	-0.005185,-0.996427,0.084295	0.055388,-0.084453,-0.994887	-104.600845,161.764236,241.952316	-72.400330,216.477905,8.269659	-93.449516,212.970718,-11.926621	-93.449516,212.970718,-11.926621	-120.364548,201.410629,-44.177307	-132.498062,193.034531,-63.121319	-139.106995,187.032822,-75.594055	-86.845573,225.527054,-18.170712	-94.272430,210.347137,-81.951698	-96.496147,201.461395,-108.718651	-98.242996,190.152771,-124.181313	-99.697388,177.715652,-133.248138	-78.254860,227.218414,-21.562754	-76.721451,212.746857,-82.419289	-71.599716,205.532120,-114.455612	-69.424576,195.660263,-135.274673	-68.598907,185.990051,-147.311050	-67.030914,224.932861,-22.251949	-57.215118,211.969040,-76.026695	-46.609169,208.702957,-106.758118	-41.432777,204.503510,-123.524529	-38.141304,198.624222,-135.760117	-59.189663,218.228943,-16.614471	-42.987629,208.521103,-65.068031	-31.179924,207.806320,-84.755150	-23.430222,204.821304,-99.884735	-18.884912,200.333496,-110.729759	
3	10998	31.361399	11653630531	86.656448,202.938293,48.214596	-0.307353,-0.950615,0.043178	-0.009654,-0.042257,-0.999060	127.825584,219.980804,358.678345	96.262054,207.516113,116.444977	71.092361,208.781403,97.242256	71.092361,208.781403,97.242256	39.027565,212.856262,61.996002	23.734398,211.207733,39.507130	14.632530,208.143784,24.003244	81.085548,219.748840,90.267433	66.889198,211.007568,25.737967	59.475452,211.112961,-4.364360	53.010250,207.709808,-24.503153	46.887318,201.711899,-39.696907	89.562401,218.471161,87.043671	84.302116,207.492050,25.022867	83.134041,204.148941,-10.542471	81.174156,198.091949,-34.711849	78.697166,191.340256,-49.877922	100.041367,212.773361,85.883835	103.467255,200.300888,30.630630	110.064316,198.933899,-3.461123	113.665703,196.271057,-23.023355	115.498718,191.813782,-38.230244	106.207069,203.717834,90.932549	116.973732,192.112488,40.844597	130.310715,191.267105,21.347874	140.710022,188.947632,6.599821	147.105637,185.538803,-4.995663	
4	9922	30.514475	11653679649	-98.036018,223.851807,47.361885	-0.064121,-0.997176,0.039084	0.017618,-0.040290,-0.999033	-105.653107,265.039032,374.198608	-92.148643,231.338791,119.300766	-115.992973,226.083130,98.211037	-115.992973,226.083130,98.211037	-147.013657,219.272659,62.019604	-160.505600,213.789200,40.018227	-168.062775,209.882919,25.462137	-108.815750,239.096451,91.742767	-119.901245,226.701523,23.586512	-128.419662,224.302048,-7.177875	-135.275894,220.967117,-28.470806	-140.947342,214.994843,-46.079212	-99.643501,240.539551,88.296417	-101.077377,228.173080,22.941229	-101.198051,225.830093,-14.818385	-101.561707,222.395523,-41.327679	-102.047935,217.693634,-59.095524	-87.593544,237.316559,87.273491	-79.898193,225.659485,29.196468	-72.686630,226.157730,-7.038526	-68.729874,224.963013,-27.528629	-66.090584,222.020416,-43.426178	-79.191422,229.622559,92.566612	-64.323875,220.738785,40.054722	-51.560894,221.030167,17.972868	-42.519753,218.321365,1.972474	-37.214645,214.761276,-9.067185	
1	7057	20.203108	11653724316	83.734253,216.641922,-78.195511	-0.144017,-0.981844,0.123455	0.003884,-0.125315,-0.992109	146.602234,270.989746,231.384872	93.212524,228.792389,-9.244087	66.563385,224.227051,-28.616440	66.563385,224.227051,-28.616440	32.507595,222.618576,-65.347565	16.412527,218.377884,-87.647476	7.168599,213.932281,-102.563438	74.662010,236.232574,-36.218834	62.268429,219.595154,-101.121895	52.690506,216.034088,-129.901596	44.651531,208.153458,-147.712143	37.739079,197.421326,-158.914124	83.728874,235.970428,-39.841232	80.708862,218.826370,-102.069435	78.325096,213.288513,-135.857071	74.122940,203.341019,-157.504562	70.095970,192.878128,-169.071976	95.601395,231.947418,-40.925503	101.548035,215.359879,-96.200157	107.884483,208.760010,-128.234848	109.937286,201.205017,-145.338272	110.093773,192.300354,-156.817932	103.639160,224.311615,-35.211006	116.802513,210.286331,-85.352539	129.518066,206.840897,-104.603111	137.942963,200.746017,-118.770592	142.300568,193.592377,-128.793396	
2	7730	30.425655	11653729518	-75.536049,209.802216,-58.904358	-0.006343,-0.996551,0.082741	0.056019,-0.082967,-0.994977	-107.758850,161.684937,241.978287	-73.343269,216.272202,8.573519	-94.271744,212.812149,-11.640873	-94.271744,212.812149,-11.640873	-121.199928,201.319992,-43.900860	-133.444931,193.031006,-62.839359	-140.245285,187.091827,-75.320930	-87.688614,225.353378,-17.857737	-95.085960,210.280334,-81.669785	-97.304810,201.493210,-108.425873	-99.048866,190.271057,-123.940918	-100.517273,177.871994,-133.073685	-79.093773,227.068024,-21.256702	-77.531906,212.688934,-82.136589	-72.363373,205.328094,-114.082993	-70.157890,195.373444,-134.847610	-69.327805,185.646698,-146.844467	-67.863907,224.736954,-21.912315	-58.022888,211.845490,-75.701820	-47.410778,208.647461,-106.383827	-42.243340,204.459000,-123.125908	-38.973133,198.570831,-135.342743	-60.020638,218.033401,-16.284746	-43.793461,208.382721,-64.743187	-32.031326,207.607758,-84.434166	-24.335365,204.554001,-99.567848	-19.839239,200.009537,-110.416801	
