Device ID	Frame ID	Frame Rate	Time Stamp	Palm Position.x,Palm Position.y,Palm Position.z	Palm Normal.x,Palm Normal.y,Palm Normal.z	Palm Direction.x,Palm Direction.y,Palm Direction.z	Arm Proximal.x,Arm Proximal.y,Arm Proximal.z	Arm Distal.x,Arm Distal.y,Arm Distal.z	Finger1_Meta.x,Finger1_Meta.y,Finger1_Meta.z	Finger1_Proxi.x,Finger1_Proxi.y,Finger1_Proxi.z	Finger1_Inter.x,Finger1_Inter.y,Finger1_Inter.z	Finger1_Dist.x,Finger1_Dist.y,Finger1_Dist.z	Finger1_End.x,Finger1_End.y,Finger1_End.z	Finger2_Meta.x,Finger2_Meta.y,Finger2_Meta.z	Finger2_Proxi.x,Finger2_Proxi.y,Finger2_Proxi.z	Finger2_Inter.x,Finger2_Inter.y,Finger2_Inter.z	Finger2_Dist.x,Finger2_Dist.y,Finger2_Dist.z	Finger2_End.x,Finger2_End.y,Finger2_End.z	Finger3_Meta.x,Finger3_Meta.y,Finger3_Meta.z	Finger3_Proxi.x,Finger3_Proxi.y,Finger3_Proxi.z	Finger3_Inter.x,Finger3_Inter.y,Finger3_Inter.z	Finger3_Dist.x,Finger3_Dist.y,Finger3_Dist.z	Finger3_End.x,Finger3_End.y,Finger3_End.z	Finger4_Meta.x,Finger4_Meta.y,Finger4_Meta.z	Finger4_Proxi.x,Finger4_Proxi.y,Finger4_Proxi.z	Finger4_Inter.x,Finger4_Inter.y,Finger4_Inter.z	Finger4_Dist.x,Finger4_Dist.y,Finger4_Dist.z	Finger4_End.x,Finger4_End.y,Finger4_End.z	Finger5_Meta.x,Finger5_Meta.y,Finger5_Meta.z	Finger5_Proxi.x,Finger5_Proxi.y,Finger5_Proxi.z	Finger5_Inter.x,Finger5_Inter.y,Finger5_Inter.z	Finger5_Dist.x,Finger5_Dist.y,Finger5_Dist.z	Finger5_End.x,Finger5_End.y,Finger5_End.z	
1	0	100	3215720961	66.5025,258.2,-54.4737	-0.109807,-0.982886,0.148078	-0.408815,-0.0911342,-0.908082	218.187,289.123,231.268	102.932,267.455,6.39404	71.6319,264.279,-1.50858	71.6319,264.279,-1.50858	22.992,255.691,-15.0142	-3.21479,248.955,-22.9194	-21.2756,243.858,-27.569	76.1147,276.819,-11.6704	37.0509,262.443,-66.8351	19.3905,259.551,-93.4626	7.64762,255.005,-110.673	-2.11698,248.47,-123.83	83.0342,276.382,-18.571	53.7304,261.233,-75.1998	42.4492,259.851,-110.539	34.8162,256.86,-135.636	29.2198,251.989,-153.11	93.4753,272.125,-24.4314	75.3755,257.139,-78.3764	64.2222,255.356,-112.702	57.3502,252.629,-131.747	52.2463,248.591,-146.116	102.967,264.209,-22.6712	93.7558,251.514,-74.8322	93.6427,250.935,-99.642	92.6408,248.529,-118.189	91.5754,244.621,-131.335	
2	0	100	3215720961	-35.4409,244.844,-30.2416	-0.0952877,-0.991634,0.0869596	-0.401658,-0.0416311,-0.914842	45.2213,285.227,258.495	-4.03372,251.532,28.3125	-30.762,247.816,19.4074	-30.762,247.816,19.4074	-74.0159,238.714,6.30622	-96.5044,230.896,-2.68674	-111.617,224.327,-8.5891	-26.2375,259.531,10.8855	-62.3242,248.684,-41.8244	-74.867,243.247,-66.2317	-82.781,237.349,-82.2564	-89.0562,230.079,-94.4371	-19.9768,260.33,4.42013	-46.8938,248.984,-49.6383	-54.6438,246.273,-81.1761	-59.3805,243.881,-103.601	-62.651,240.257,-119.62	-10.7973,256.686,-1.11149	-27.2291,245.499,-52.5736	-34.1593,243.4,-83.6821	-38.1243,241.535,-101.306	-40.927,238.593,-115.164	-2.34744,249.101,0.194899	-10.4911,240.083,-49.4067	-10.7375,240.117,-71.2208	-10.7095,239.579,-88.1493	-10.5147,237.463,-101.04	
3	0	100	3215720961	74.3278,249.896,69.8186	-0.293471,-0.947261,0.128728	-0.395489,-0.00228837,-0.918468	203.791,245.281,368.38	109.683,251.347,132.134	79.7867,254.109,122.866	79.7867,254.109,122.866	30.1159,258.758,112.659	2.40434,259.318,104.525	-16.3849,258.541,98.9557	86.4651,265.858,112.741	46.7076,259.652,56.3068	30.538,261.271,29.4645	19.0894,262.187,11.3691	8.24489,261.476,-4.09181	93.1377,264.175,106.318	62.8911,255.411,48.6222	52.4518,258.546,14.6044	46.2541,261.645,-10.215	41.1505,262.643,-29.0988	102.429,258.3,101.015	83.1836,247.58,46.2665	74.0611,250.39,11.4773	69.7891,252.36,-8.50388	66.593,252.986,-25.2651	110.067,248.899,103.148	99.9597,238.762,50.4283	99.1226,241.989,25.7234	99.3804,244.421,6.66446	99.823,244.875,-8.51765	
4	0	100	3215720961	-58.6129,269.212,67.7769	-0.0489968,-0.9988,0.00527982	-0.431049,0.016379,-0.902185	32.6513,337.934,380.621	-22.254,274.601,131.681	-51.5181,268.158,122.219	-51.5181,268.158,122.219	-102.02,262.05,108.903	-128.514,256.683,97.9258	-145.962,252.103,89.8137	-48.1069,282.126,113.951	-89.4118,273.216,56.1817	-105.317,272.253,27.5488	-116.071,269.912,8.07714	-124.718,264.633,-8.03099	-41.2304,283.784,106.828	-72.4498,274.92,47.2148	-83.1034,274.763,9.27254	-90.1853,273.544,-17.2912	-95.0522,270.631,-35.9629	-30.8499,280.768,100.251	-50.4129,272.375,43.1498	-58.829,274.485,6.10607	-63.391,274.651,-14.9899	-66.6543,273.15,-31.6526	-20.7928,272.796,100.799	-31.2472,267.04,45.6643	-31.9074,270.822,19.7369	-32.2256,272.868,-0.170131	-32.3623,272.621,-15.3449	
1	0	100	3215730961	66.4885,258.124,-54.4422	-0.109949,-0.982952,0.147584	-0.408886,-0.0906089,-0.908109	218.406,288.916,231.182	102.93,267.343,6.42217	71.6202,264.17,-1.47081	71.6202,264.17,-1.47081	22.977,255.606,-14.9938	-3.23342,248.892,-22.9062	-21.2969,243.811,-27.5542	76.1085,276.725,-11.6298	37.0402,262.383,-66.798	19.3733,259.497,-93.4266	7.62898,254.965,-110.646	-2.14091,248.451,-123.818	83.0243,276.279,-18.5293	53.7157,261.165,-75.1627	42.4015,259.755,-110.518	34.7432,256.738,-135.615	29.1338,251.867,-153.089	93.4647,272.028,-24.3958	75.3597,257.073,-78.346	64.1684,255.299,-112.676	57.2747,252.581,-131.724	52.1584,248.556,-146.102	102.957,264.109,-22.6453	93.7407,251.442,-74.811	93.6226,250.852,-99.6165	92.6134,248.441,-118.163	91.5455,244.535,-131.31	
2	0	100	3215730961	-35.4472,244.836,-30.1979	-0.0960399,-0.991511,0.0875715	-0.401592,-0.0419036,-0.914859	45.2973,285.219,258.531	-4.03733,251.533,28.3565	-30.7703,247.837,19.4505	-30.7703,247.837,19.4505	-74.0305,238.708,6.34029	-96.5262,230.877,-2.66426	-111.647,224.295,-8.5792	-26.2355,259.542,10.922	-62.3258,248.688,-41.7866	-74.8669,243.239,-66.193	-82.7827,237.346,-82.216	-89.0633,230.103,-94.3978	-19.9751,260.334,4.4582	-46.8957,248.975,-49.5976	-54.645,246.253,-81.1366	-59.3793,243.876,-103.562	-62.6458,240.295,-119.591	-10.7975,256.68,-1.07194	-27.2327,245.472,-52.5304	-34.1638,243.365,-83.6399	-38.1292,241.518,-101.264	-40.9299,238.59,-115.128	-2.35195,249.085,0.239167	-10.4973,240.042,-49.3591	-10.7576,240.045,-71.1734	-10.7404,239.506,-88.1015	-10.5446,237.403,-100.997	
3	0	100	3215730961	74.3136,249.887,69.8239	-0.293526,-0.947252,0.128672	-0.395478,-0.00221567,-0.918473	203.865,245.214,368.351	109.672,251.332,132.139	79.7717,254.098,122.873	79.7717,254.098,122.873	30.0996,258.759,112.67	2.386,259.327,104.54	-16.4073,258.559,98.9736	86.4524,265.846,112.748	46.695,259.645,56.3126	30.5225,261.258,29.4699	19.0723,262.168,11.3758	8.22726,261.453,-4.08325	93.1249,264.164,106.324	62.8784,255.405,48.6276	52.4358,258.53,14.6084	46.2333,261.605,-10.21	41.1251,262.587,-29.0875	102.414,258.288,101.022	83.1692,247.573,46.2718	74.0477,250.381,11.4813	69.775,252.345,-8.50056	66.5755,252.964,-25.2613	110.052,248.886,103.153	99.9449,238.752,50.4322	99.1077,241.98,25.7272	99.3635,244.41,6.66745	99.8031,244.861,-8.51462	
4	0	100	3215730961	-58.6341,269.207,67.7836	-0.0492969,-0.99878,0.00567525	-0.431066,0.016152,-0.90218	32.7412,337.99,380.593	-22.2685,274.609,131.684	-51.5381,268.173,122.227	-51.5381,268.173,122.227	-102.042,262.066,108.914	-128.536,256.697,97.94	-145.983,252.114,89.8328	-48.1219,282.136,113.953	-89.4314,273.216,56.1878	-105.342,272.255,27.557	-116.102,269.918,8.08643	-124.756,264.645,-8.02175	-41.2454,283.791,106.83	-72.4693,274.912,47.2201	-83.1233,274.755,9.27385	-90.2056,273.541,-17.2926	-95.0734,270.634,-35.9663	-30.8662,280.768,100.253	-50.4333,272.359,43.1547	-58.8424,274.469,6.10883	-63.3987,274.638,-14.9886	-66.6586,273.142,-31.6525	-20.8117,272.792,100.802	-31.2693,267.017,45.6687	-31.9273,270.807,19.7447	-32.2399,272.857,-0.160809	-32.3719,272.619,-15.3361	
1	0	100	3215740961	66.473,258.063,-54.4189	-0.11005,-0.982983,0.147324	-0.408955,-0.0903165,-0.908111	218.596,288.735,231.107	102.926,267.261,6.44134	71.6075,264.091,-1.44363	71.6075,264.091,-1.44363	22.9609,255.546,-14.9777	-3.25254,248.848,-22.8945	-21.3187,243.779,-27.5412	76.0996,276.655,-11.6021	37.0268,262.333,-66.7709	19.3553,259.449,-93.4002	7.60992,254.923,-110.624	-2.1631,248.421,-123.804	83.0126,276.204,-18.5009	53.6991,261.108,-75.1357	42.3684,259.684,-110.501	34.6972,256.657,-135.599	29.081,251.788,-153.073	93.4523,271.955,-24.3713	75.3424,257.017,-78.3237	64.1322,255.249,-112.657	57.2278,252.537,-131.707	52.1053,248.52,-146.091	102.945,264.034,-22.6265	93.724,251.383,-74.7943	93.603,250.787,-99.5984	92.5898,248.374,-118.145	91.5207,244.469,-131.294	
2	0	100	3215740961	-35.4539,244.829,-30.1564	-0.0967233,-0.991398,0.088128	-0.401529,-0.0421522,-0.914876	45.3672,285.21,258.564	-4.04179,251.533,28.3985	-30.7792,247.856,19.4915	-30.7792,247.856,19.4915	-74.0451,238.702,6.37275	-96.5476,230.859,-2.64209	-111.676,224.267,-8.56786	-26.235,259.55,10.9567	-62.3283,248.691,-41.7506	-74.8679,243.231,-66.1561	-82.7856,237.343,-82.1775	-89.0716,230.125,-94.3602	-19.9749,260.338,4.49465	-46.8984,248.965,-49.5588	-54.647,246.233,-81.0988	-59.3792,243.87,-103.524	-62.6419,240.329,-119.563	-10.7989,256.673,-1.03402	-27.237,245.448,-52.4891	-34.169,243.332,-83.5994	-38.1347,241.502,-101.225	-40.9336,238.586,-115.093	-2.35728,249.07,0.281482	-10.504,240.004,-49.3138	-10.777,239.981,-71.1282	-10.7694,239.44,-88.0556	-10.5728,237.349,-100.955	
